rounds;hashValues;maxHashValues;leafValues;maxLeafValues
1067;0;5;2;2
1068;2;5;1;2
1069;0;5;2;2
1070;1;5;1;2
1071;0;5;2;2
1072;4;5;1;2
1073;0;5;2;2
1074;1;5;1;2
1075;0;5;2;2
1076;2;5;1;2
1077;0;5;2;2
1078;1;5;1;2
1079;0;5;2;2
1080;3;5;1;2
1081;0;5;2;2
1082;1;5;1;2
1083;0;5;2;2
1084;2;5;1;2
1085;0;5;2;2
1086;1;5;1;2
1087;0;5;2;2
1088;5;5;1;2
1089;0;5;1;2
1090;0;5;1;2
1091;0;5;2;2
1092;1;5;1;2
1093;0;5;2;2
1094;1;5;1;2
1095;0;5;2;2
1096;2;5;1;2
1097;0;5;2;2
1098;1;5;1;2
1099;0;5;2;2
1100;2;5;1;2
1101;0;5;2;2
1102;1;5;1;2
1103;0;5;2;2
1104;3;5;1;2
1105;0;5;2;2
1106;1;5;1;2
1107;0;5;2;2
1108;2;5;1;2
1109;0;5;2;2
1110;1;5;1;2
1111;0;5;2;2
1112;3;5;1;2
1113;0;5;2;2
1114;1;5;1;2
1115;0;5;2;2
1116;2;5;1;2
1117;0;5;2;2
1118;1;5;1;2
1119;0;5;2;2
1120;4;5;1;2
1121;0;5;2;2
1122;1;5;1;2
1123;0;5;2;2
1124;2;5;1;2
1125;0;5;2;2
1126;1;5;1;2
1127;0;5;2;2
1128;3;5;1;2
1129;0;5;2;2
1130;1;5;1;2
1131;0;5;2;2
1132;2;5;1;2
1133;0;5;2;2
1134;1;5;1;2
1135;0;5;2;2
1136;4;5;1;2
1137;0;5;2;2
1138;1;5;1;2
1139;0;5;2;2
1140;2;5;1;2
1141;0;5;2;2
1142;1;5;1;2
1143;0;5;2;2
1144;3;5;1;2
1145;0;5;2;2
1146;1;5;1;2
1147;0;5;2;2
1148;2;5;1;2
1149;0;5;2;2
1150;1;5;1;2
1151;0;5;2;2
1152;5;5;1;2
1153;0;5;1;2
1154;0;5;1;2
1155;0;5;2;2
1156;1;5;1;2
1157;0;5;2;2
1158;1;5;1;2
1159;0;5;2;2
1160;2;5;1;2
1161;0;5;2;2
1162;1;5;1;2
1163;0;5;2;2
1164;2;5;1;2
1165;0;5;2;2
1166;1;5;1;2
1167;0;5;2;2
1168;3;5;1;2
1169;0;5;2;2
1170;1;5;1;2
1171;0;5;2;2
1172;2;5;1;2
1173;0;5;2;2
1174;1;5;1;2
1175;0;5;2;2
1176;3;5;1;2
1177;0;5;2;2
1178;1;5;1;2
1179;0;5;2;2
1180;2;5;1;2
1181;0;5;2;2
1182;1;5;1;2
1183;0;5;2;2
1184;4;5;1;2
1185;0;5;2;2
1186;1;5;1;2
1187;0;5;2;2
1188;2;5;1;2
1189;0;5;2;2
1190;1;5;1;2
1191;0;5;2;2
1192;3;5;1;2
1193;0;5;2;2
1194;1;5;1;2
1195;0;5;2;2
1196;2;5;1;2
1197;0;5;2;2
1198;1;5;1;2
1199;0;5;2;2
1200;4;5;1;2
1201;0;5;2;2
1202;1;5;1;2
1203;0;5;2;2
1204;2;5;1;2
1205;0;5;2;2
1206;1;5;1;2
1207;0;5;2;2
1208;3;5;1;2
1209;0;5;2;2
1210;1;5;1;2
1211;0;5;2;2
1212;2;5;1;2
1213;0;5;2;2
1214;1;5;1;2
1215;0;5;2;2
1216;5;5;1;2
1217;0;5;1;2
1218;0;5;1;2
1219;0;5;2;2
1220;1;5;1;2
1221;0;5;2;2
1222;1;5;1;2
1223;0;5;2;2
1224;2;5;1;2
1225;0;5;2;2
1226;1;5;1;2
1227;0;5;2;2
1228;2;5;1;2
1229;0;5;2;2
1230;1;5;1;2
1231;0;5;2;2
1232;3;5;1;2
1233;0;5;2;2
1234;1;5;1;2
1235;0;5;2;2
1236;2;5;1;2
1237;0;5;2;2
1238;1;5;1;2
1239;0;5;2;2
1240;3;5;1;2
1241;0;5;2;2
1242;1;5;1;2
1243;0;5;2;2
